10863197;улица Юных Ленинцев, дом, Подольск, Московская область;street;РОССИЯ;МОСКОВСКАЯ;ПОДОЛЬСК;;;;Улица;ЮНЫХ ЛЕНИНЦЕВ;;;;;
10863198;улица Ялагина, дом 13, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;13;;;;
10863199;улица Ялагина, дом 13, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;13;;;;
10863200;улица Ялагина, дом 16, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;16;;;;
10863201;улица Ялагина, дом 16, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;16;;;;
10863202;улица Ялагина, дом 17, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;17;;;;
10863203;улица Ялагина, дом 17, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;17;;;;
10863204;улица Ялагина, дом 18, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;18;;;;
10863205;улица Ялагина, дом 18, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;18;;;;
10863206;улица Ялагина, дом 18А, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;18А;;;;
10863207;улица Ялагина, дом 18А, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;18А;;;;
10863208;улица Ялагина, дом 24, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;24;;;;
10863209;улица Ялагина, дом 24, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;24;;;;
10863210;улица Ялагина, дом 26, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;26;;;;
10863211;улица Ялагина, дом 26, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;26;;;;
10863212;улица Ялагина, дом 3, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;3;;;;
10863213;улица Ялагина, дом 3, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;3;;;;
10863214;улица Ялагина, дом 4, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;4;;;;
10863215;улица Ялагина, дом 4, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;4;;;;
10863216;улица Ялагина, дом 5, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;5;;;;
10863217;улица Ялагина, дом 5, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;5;;;;
10863218;улица Ялагина, дом 7, Электросталь, Московская область;house;РОССИЯ;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;7;;;;
10863219;улица Ялагина, дом 7, Электросталь, Московская область;house;;МОСКОВСКАЯ;ЭЛЕКТРОСТАЛЬ;;;;Улица;ЯЛАГИНА;7;;;;
